CommodityName,CommodityCode,CommodityGroupCode,CommodityGroupName
Absinthe,380,12,Forest Products
Ajwain Husk,454,10,Others
Ajwan,115,7,Spices
Alasande Gram,234,2,Pulses
Almond(Badam),275,8,Dry Fruits
Aloe Vera,455,6,Vegetables
Alsandikai,138,6,Vegetables
Amaranthus,72,6,Vegetables
Ambada Seed,112,12,Forest Products
Ambady/Mesta,346,4,Fibre Crops
Ambat Chuka,456,6,Vegetables
Amla(Nelli Kai),303,5,Fruits
Amranthas Red,348,6,Vegetables
Antawala,169,12,Forest Products
Anthorium,326,14,Flowers
Apple,17,5,Fruits
Apricot(Jardalu/Khumani),276,5,Fruits
Arecanut(Betelnut/Supari),118,11,Drug and Narcotics
Arhar Dal(Tur Dal),214,2,Pulses
Arhar(Tur/Red Gram)(Whole),45,2,Pulses
Arrowroot,457,6,Vegetables
Asalia,373,11,Drug and Narcotics
Asgand,434,7,Spices
Ashgourd,69,6,Vegetables
Ashoka,435,11,Drug and Narcotics
Ashwagandha,372,11,Drug and Narcotics
Asparagus,363,11,Drug and Narcotics
Astera,190,14,Flowers
Atis,436,11,Drug and Narcotics
Avare Dal,223,2,Pulses
Avocado,458,5,Fruits
BOP,327,14,Flowers
Baby Corn,459,6,Vegetables
Bael,347,5,Fruits
Bajji chilli,420,6,Vegetables
Bajra(Pearl Millet/Cumbu),28,1,Cereals
Balekai,228,6,Vegetables
Bamboo,164,12,Forest Products
Bamboo Shoot,460,6,Vegetables
Banana,19,5,Fruits
Banana - Green,76,6,Vegetables
Banana Leaf,414,6,Vegetables
Banana flower,412,6,Vegetables
Banana stem,413,6,Vegetables
Barley(Jau),29,1,Cereals
Barnyard Millet,461,1,Cereals
Bay leaf(Tejpatta),271,12,Forest Products
Beans,80,2,Pulses
Beaten Rice,216,1,Cereals
Beetroot,129,6,Vegetables
Behada,437,12,Forest Products
Bengal Gram Dal(Chana Dal),217,2,Pulses
Bengal Gram(Gram)(Whole),6,2,Pulses
Ber(Zizyphus/Borehannu),304,5,Fruits
Betal Leaves,121,11,Drug and Narcotics
Betelnuts,37,7,Spices
Bhindi(Ladies Finger),71,6,Vegetables
Bhui Amlaya,377,12,Forest Products
Big Gram,97,2,Pulses
Bilimbi,462,5,Fruits
Binoula,47,6,Vegetables
Bitter gourd,67,6,Vegetables
Black Currant,463,5,Fruits
Black Gram Dal(Urd Dal),218,2,Pulses
Black Gram(Urd Beans)(Whole),8,2,Pulses
Black pepper,34,7,Spices
Blueberry,464,5,Fruits
Borehannu,159,5,Fruits
Bottle gourd,68,6,Vegetables
Brahmi,378,12,Forest Products
Bran,242,10,Others
Bread Fruit,426,5,Fruits
Brinjal,32,6,Vegetables
Brocoli,416,6,Vegetables
Broken Rice,244,10,Others
Broomstick(Flower Broom),270,12,Forest Products
Browntop Millet,465,1,Cereals
Bull,173,13,"Live Stock,Poultry,Fisheries"
Bullar,237,2,Pulses
Bunch Beans,183,10,Others
Butter,226,15,Oils and Fats
Cabbage,126,6,Vegetables
Calendula,409,14,Flowers
Calf,174,13,"Live Stock,Poultry,Fisheries"
Camel Hair,302,10,Others
Cane,165,12,Forest Products
Capsicum,136,6,Vegetables
Cardamoms,36,7,Spices
Carissa(Karvand),466,5,Fruits
Carnation,322,14,Flowers
Carrot,125,6,Vegetables
Cashew Kernnel,196,10,Others
Cashewnuts,33,8,Dry Fruits
Castor Oil,224,15,Oils and Fats
Castor Seed,106,3,Oil Seeds
Cauliflower,31,6,Vegetables
Chakhao(Black Rice),467,1,Cereals
Chakotha,158,5,Fruits
Chandrashoor,367,11,Drug and Narcotics
Chapparad Avare,141,6,Vegetables
