state_code,state_name,district_code,district_name
AN,Andaman and Nicobar,2,Nicobar
AN,Andaman and Nicobar,3,North and Middle Andaman
AN,Andaman and Nicobar,1,South Andaman
AP,Andhra Pradesh,12,Anantapur
AP,Andhra Pradesh,13,Chittor
AP,Andhra Pradesh,1,Cuddapah
AP,Andhra Pradesh,14,East Godavari
AP,Andhra Pradesh,15,Guntur
AP,Andhra Pradesh,16,Krishna
AP,Andhra Pradesh,17,Kurnool
AP,Andhra Pradesh,18,Nellore
AP,Andhra Pradesh,19,Prakasam
AP,Andhra Pradesh,21,Srikakulam
AP,Andhra Pradesh,9,Vijayanagaram
AP,Andhra Pradesh,22,Visakhapatnam
AP,Andhra Pradesh,23,West Godavari
AR,Arunachal Pradesh,2,Changlang
AR,Arunachal Pradesh,4,East Kameng
AR,Arunachal Pradesh,5,East Siang
AR,Arunachal Pradesh,15,Kurung Kummey
AR,Arunachal Pradesh,7,Lohit
AR,Arunachal Pradesh,3,Lower Dibang Valley
AR,Arunachal Pradesh,6,Lower Subansiri
AR,Arunachal Pradesh,1,Papum Pore
AR,Arunachal Pradesh,9,Tawang
AR,Arunachal Pradesh,10,Tirap
AR,Arunachal Pradesh,14,Upper Siang
AR,Arunachal Pradesh,11,Upper Subansiri
AR,Arunachal Pradesh,12,West Kameng
AR,Arunachal Pradesh,13,West Siang
AS,Assam,5,Barpeta
AS,Assam,4,BONGAIGAON
AS,Assam,6,Cachar
AS,Assam,1,Darrang
AS,Assam,7,Dhemaji
AS,Assam,2,Dhubri
AS,Assam,9,Dibrugarh
AS,Assam,10,Goalpara
AS,Assam,11,Golaghat
AS,Assam,12,Hailakandi
AS,Assam,13,Jorhat
AS,Assam,3,Kamrup
AS,Assam,8,Karbi Anglong
AS,Assam,14,Karimganj
AS,Assam,15,Kokrajhar
AS,Assam,16,Lakhimpur
AS,Assam,17,Mangaldoi
AS,Assam,18,MORIGAON
AS,Assam,19,Nagaon
AS,Assam,20,Nalbari
AS,Assam,21,North Cachar Hills
AS,Assam,22,Sibsagar
AS,Assam,23,Sonitpur
AS,Assam,24,Tinsukia
BI,Bihar,19,Araria
BI,Bihar,94,Arwal
BI,Bihar,20,Aurangabad
BI,Bihar,21,Banka
BI,Bihar,1,Begusarai
BI,Bihar,2,Bhagalpur
BI,Bihar,23,Bhojpur
BI,Bihar,25,Buxar
BI,Bihar,55,Chhapra
BI,Bihar,4,Darbhanga
BI,Bihar,26,East Champaran/ Motihari
BI,Bihar,9,Gaya
BI,Bihar,30,Gopalgang
BI,Bihar,32,Jamui
BI,Bihar,33,Jehanabad
BI,Bihar,96,Kaimur/Bhabhua
BI,Bihar,11,Kaithar
BI,Bihar,34,Khagaria
BI,Bihar,35,Kishanganj
BI,Bihar,52,Luckeesarai
BI,Bihar,38,Madhepura
