state_code,state_name,district_code,district_name
100006,All States,100007,All Districts
32,Telangana,565,Adilabad
19,Madhya Pradesh,287,Agar Malwa
34,Uttar Pradesh,586,Agra
11,Gujarat,131,Ahmedabad
20,Maharashtra,338,Ahmednagar
23,Mizoram,397,Aizawl
29,Rajasthan,475,Ajmer
20,Maharashtra,339,Akola
17,Kerala,270,Alappuzha
34,Uttar Pradesh,587,Aligarh
36,West Bengal,674,Alipurduar
19,Madhya Pradesh,288,Alirajpur
17,Kerala,271,Alleppey
2,Andhra Pradesh,710,Alluri Sitharama Raju
35,Uttarakhand,660,Almora
29,Rajasthan,476,Alwar
20,Maharashtra,340,Amarawati
12,Haryana,165,Ambala
34,Uttar Pradesh,588,Ambedkarnagar
34,Uttar Pradesh,589,Amethi
11,Gujarat,132,Amreli
28,Punjab,452,Amritsar
34,Uttar Pradesh,590,Amroha
2,Andhra Pradesh,714,Anakapalli
11,Gujarat,133,Anand
2,Andhra Pradesh,4,Anantapur
14,Jammu and Kashmir,199,Anantnag
26,Odisha,415,Angul
2,Andhra Pradesh,709,Annamayya
29,Rajasthan,477,Anupgarh
19,Madhya Pradesh,289,Anupur
5,Bihar,55,Araria
11,Gujarat,134,Aravalli 
31,Tamil Nadu,527,Ariyalur
5,Bihar,56,Arwal
19,Madhya Pradesh,290,Ashoknagar
34,Uttar Pradesh,591,Auraiya
5,Bihar,57,Aurangabad
34,Uttar Pradesh,592,Ayodhya
34,Uttar Pradesh,593,Azamgarh
34,Uttar Pradesh,594,Badaun
19,Madhya Pradesh,291,Badwani
16,Karnataka,242,Bagalkot
35,Uttarakhand,661,Bageshwar
34,Uttar Pradesh,595,Baghpat
34,Uttar Pradesh,596,Bahraich
19,Madhya Pradesh,292,Balaghat
26,Odisha,416,Balasore
34,Uttar Pradesh,597,Ballia
7,Chattisgarh,95,Balod
7,Chattisgarh,96,Balodabazar
29,Rajasthan,478,Balotra
34,Uttar Pradesh,598,Balrampur
7,Chattisgarh,97,Balrampur
11,Gujarat,135,Banaskanth
34,Uttar Pradesh,599,Banda
14,Jammu and Kashmir,201,Bandipora
20,Maharashtra,341,Bandra(E)
16,Karnataka,243,Bangalore
5,Bihar,58,Banka
36,West Bengal,675,Bankura
29,Rajasthan,479,Banswara
2,Andhra Pradesh,716,Bapatla
34,Uttar Pradesh,600,Barabanki
14,Jammu and Kashmir,202,Baramulla
29,Rajasthan,480,Baran
